"","input_bc","input_low","input_high","costs_low","costs_high","cost_bc","deaths_low","deaths_high","deaths_bc","od_deaths_low","od_deaths_high","od_deaths_bc","group","cost_range","deaths_range","od_deaths_range","name"
"1",999,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_PN",0,0,0,"p_BN_PN"
"2",0.00165257,0.00137714,0.001927993,666116479993.808,674128468393.205,670152374271.406,4518166.75232631,4515969.32078174,4517060.87241281,116942.192355265,118347.730879629,117649.312267207,"BN_PN",8011988399.39709,2197.43154457025,1405.53852436398,"p_BN_ACUTE"
"3",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_PN",0,0,0,"p_BN_CHRONIC"
"4",5e-04,0.000375,0.000625,653520534378.375,686558017470.754,670152374271.406,4382764.51382585,4649404.68603292,4517060.87241281,117243.596977466,118050.412667123,117649.312267207,"BN_PN",33037483092.3782,266640.172207071,806.815689657335,"p_BN_CANCER"
"5",0.00069143,0.00063313,0.000758046,670075608708.252,670239202042.457,670152374271.406,4519331.29066718,4514480.74063803,4517060.87241281,117665.086318053,117631.355139578,117649.312267207,"BN_PN",163593334.205322,4850.55002915207,33.7311784747435,"p_BN_OTHER"
"6",0.0003077,0.00023,0.000385392,669411956807.095,670882292022.613,670152374271.406,4345215.55926281,4687015.16004449,4517060.87241281,117711.908185127,117587.062713249,117649.312267207,"BN_PN",1470335215.51758,341799.600781679,124.845471878245,"p_BN_PALLIATIVE"
"7",0.00110106,0.00082594,0.001376186,657624624208.448,682428567728.827,670152374271.406,4518596.52857248,4515549.39185788,4517060.87241281,116687.473912753,118596.868144454,117649.312267207,"BN_PN",24803943520.3782,3047.13671459816,1909.39423170083,"p_BPO_ACUTE"
"8",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_PN",0,0,0,"p_BPO_CHRONIC"
"9",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_PN",0,0,0,"p_BPO_CANCER"
"10",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_PN",0,0,0,"p_BPO_OTHER"
"11",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_PN",0,0,0,"p_BPO_PALLIATIVE"
"12",0.00032511,0.0002926,0.005,667955691165.851,935670598510.68,670152374271.406,4517064.97234157,4517791.77823236,4517060.87241281,117158.505640212,178414.922750482,117649.312267207,"BN_PN",267714907344.829,726.805890793912,61256.4171102703,"p_BPO_MISUSE"
"13",2.94e-05,1.33e-05,6.44e-05,669659650316.297,671220787961.376,670152374271.406,4515867.73603328,4519648.29163747,4517060.87241281,116583.017093994,119961.293747502,117649.312267207,"BN_PN",1561137645.07971,3780.55560419615,3378.27665350874,"p_BI_ILLICIT"
"14",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_PN",0,0,0,"p_BS_DETOX"
"15",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_PN",0,0,0,"p_BS_OAT_INI"
"16",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_PN",0,0,0,"p_BS_OAT_MAINT"
"17",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_PN",0,0,0,"p_BS_OAT_SS"
"18",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_PN",0,0,0,"p_BS_SS"
"19",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_PN",0,0,0,"p_BO_OD_ILLICIT"
"20",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_PN",0,0,0,"p_BO_OD_RX"
"21",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_PN",0,0,0,"p_BO_MOD_BI"
"22",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_PN",0,0,0,"p_BO_SEVERE_BI"
"23",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_PN",0,0,0,"p_BO_SEVERE_BI_OUT"
"24",0,0,0,670152374271.406,670152374271.406,670152374271.406,4517060.87241281,4517060.87241281,4517060.87241281,117649.312267207,117649.312267207,117649.312267207,"BN_PN",0,0,0,"p_BO_OD_DEATH"
